Product Name,Description,imageName
Stay Set complete,High-quality stay set for electrical poles,Stay Set Complete.png
Stayclamp,Durable clamps for pole stays,Stay Clamp.png
Back Clamp,Robust back clamps for electrical infrastructure,Back Clamp.jpg
GI Earth Pipe,Galvanized iron pipes for earthing,GI Earth Pipe.jpg
V Cross Arm,Precision-engineered V cross arms,V Cross Arm.jpg
LT Angle Cross Arm,Low-tension angle cross arms,LT Angle Cross Arm.jpg
HT Cross arm,High-tension cross arms,HT Cross arm.jpg
Three phase Channel cross arm,Channel cross arms for three-phase systems,3phase-channel.jpg
Three phase angle cross arm,Angle cross arms for three-phase systems,3phase-angle.jpg
Single phase cross arm,Cross arms for single-phase systems,single-phase.jpg
All size bed bolt / Tower line bolt,Bolts for tower lines and other applications,bed-bolt.jpg
Tapping channel cross arm,Channel cross arms for tapping connections,tapping-channel.jpg
Transformer structure clamp,Clamps for transformer structures,transformer-clamp.png
Transformer structure material,Materials for transformer structures,transformer-material.png
Guarding cross arm,Cross arms for guarding applications,guarding-cross-arm.png
